method,f1_mean,f1_std,f1_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,auroc_mean,auroc_std,auroc_ci95,auprc_mean,auprc_std,auprc_ci95,context_reduction_mean,context_reduction_std,context_reduction_ci95,token_reduction_mean,token_reduction_std,token_reduction_ci95,poison_event_selection_rate_mean,poison_event_selection_rate_std,poison_event_selection_rate_ci95,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_ci95,latency_per_context_ms_mean,latency_per_context_ms_std,latency_per_context_ms_ci95,rank_f1
TeleMin-RAG,0.5756735034386631,0.2437554468151487,0.11944016893942287,0.680374046734616,0.12793859882595085,0.06268991342471592,0.7280513246965452,0.12111828840882427,0.05934796132032389,0.6140458037808711,0.2144680392808267,0.10508933924760508,0.6514539204756595,0.1626258802268715,0.07968668131116703,0.6483470811690593,0.15919300735887698,0.07800457360584973,0.0,0.0,0.0,0.24456521739130432,0.10869565217391304,0.05326086956521739,19.89557717372562,12.598020240795256,6.173029917989675,1.0
Full Context,0.540359354268023,0.2511047748929272,0.12304133969753434,0.6590640241210228,0.1299565989394122,0.06367873348031197,0.792374241363212,0.1201283423661466,0.058862887759411835,0.6899069875369943,0.20422595201753874,0.10007071648859397,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25815217391304346,0.10586904442927589,0.05187583177034519,1.845986955943416,1.1139323959250376,0.5458268740032683,2.0
Embedding Similarity Selection,0.5372824402749605,0.260374088426511,0.1275833033289904,0.6428477136841197,0.12818250002383696,0.06280942501168012,0.7174712593370682,0.1596269451325698,0.07821720311495921,0.6190832569342339,0.2585141683276191,0.12667194248053334,0.717948717948718,0.052963874819930416,0.025952298661765905,0.7186929712830317,0.05650411768861508,0.02768701766742139,1.0,0.0,0.0,0.2853260869565217,0.11663065426725434,0.05714902059095463,13.41801711912368,8.687631189237,4.2569392827261305,3.0
Mutual Information Feature Selection,0.5303152609157791,0.19280652463714887,0.09447519707220295,0.640588989279194,0.11438471458775308,0.05604851014799901,0.7251736111111111,0.11786996004592734,0.05775628042250439,0.631194872403207,0.22268197690738933,0.10911416868462077,0.717948717948718,0.052963874819930416,0.025952298661765905,0.7138430086805201,0.05586133971981235,0.02737205646270805,0.00543478260869565,0.0217391304347826,0.010652173913043475,0.2934782608695652,0.1294649938210278,0.06343784697230362,2.250342118318456,1.598552813398997,0.7832908785655085,4.0
Random-k Selection,0.5037267471091,0.27252846006707476,0.13353894543286662,0.6270260065997428,0.15172024351789612,0.0743429193237691,0.6933998599439776,0.22849907907864647,0.11196454874853677,0.6189097099810026,0.2811876464397039,0.1377819467554549,0.717948717948718,0.052963874819930416,0.025952298661765905,0.721148111050508,0.051482772252731616,0.02522655840383849,0.30163043478260865,0.11930142177507834,0.05845769666978839,0.29347826086956513,0.12651103097272579,0.061990405176635635,1.1653527174570153,0.850370310183586,0.41668145198995715,5.0
TF-IDF/BM25 Selection,0.5021173808482202,0.22242446704536284,0.10898798885222778,0.6304249767982664,0.14345368259949776,0.0702923044737539,0.7196705765639589,0.1510573838425943,0.0740181180828712,0.6252715298549806,0.2250048634426076,0.11025238308687772,0.717948717948718,0.052963874819930416,0.025952298661765905,0.7187441489439654,0.05037433189421986,0.02468342262816773,0.24456521739130435,0.2693664531346733,0.1319895620359899,0.30163043478260865,0.1450452420564915,0.07107216860768083,2.067302989219214,1.3324260508105055,0.6528887648971476,6.0
Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.45132977849090383,0.2767800151514427,0.13562220742420691,0.5830826350519418,0.15604391144861,0.0764615166098189,0.5961750846171803,0.19053695787796482,0.09336310936020276,0.5139759648007388,0.22518118243035448,0.11033877939087369,0.6514539204756595,0.1626258802268715,0.07968668131116703,0.6483470811690593,0.15919300735887698,0.07800457360584973,0.0,0.0,0.0,0.3396739130434782,0.1252282100801332,0.06136182293926527,1034.799699456451,655.9375072929071,321.40937857352446,7.0
Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.37526225967015436,0.19440946740369838,0.0952606390278122,0.4849059743719186,0.13511307601484657,0.06620540724727482,0.5534900939542484,0.12569271111664038,0.06158942844715378,0.4801309031124198,0.20100129151312196,0.09849063284142975,0.717948717948718,0.052963874819930416,0.025952298661765905,0.7187441489439654,0.05037433189421986,0.02468342262816773,0.24456521739130435,0.2693664531346733,0.1319895620359899,0.44836956521739124,0.17078251276599332,0.08368343125533673,1318.6672529883926,698.0513076405723,342.04514074388044,8.0
Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.3329814092717318,0.1757862329412043,0.08613525414119011,0.3445357917326771,0.1260067630371921,0.06174331388822413,0.3082713293650793,0.14809065340596814,0.07256442016892438,0.32970096766192863,0.19274339407898644,0.09444426309870335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6304347826086957,0.12700812927656024,0.06223398334551452,1346.738120381222,571.655892963106,280.11138755192195,9.0
Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.3135724124163498,0.1538984415964851,0.0754102363822777,0.2152880304708687,0.1056023582336019,0.051745155534464925,0.22444852941176469,0.11503664319934834,0.056367955167680686,0.305858334719205,0.17001169649465062,0.0833057312823788,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7581521739130435,0.10880429353254087,0.05331410383094502,770.5947445656816,384.937856222274,188.61954954891425,10.0
